lat,lon,Straßenname,Anzahl Fußgänger pro Tag,Anzahl Fahrradfahrer pro Tag,Durchschnittliche tägl. Verkehrsstärke unmotorisiert (DTV),Anzahl PKW pro Tag,"Anzahl schwere  LKW (> 3,5t) pro Tag","Anzahl leichte LKW (< 3,5t) pro Tag",Anzahl Motorräder pro Tag,Anzahl Busse pro Tag,Durchschnittliche tägl. Verkehrsstärke motorisiert (DTVm),Entsprechend Legende in der Karte (für uns zur Orientierung),NACHTS,pedestrian_night,bike_night,mean_unmotorized_night,car_night,truck_night,van_night,motorbike_night,bus_night,mean_motorized_night
52.54778,13.41343,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.54877,13.41361,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.55065,13.41391,Schönhauser Allee,39950.0,3905.0,43855.0,20763.0,517.0,1858.0,329.0,47.0,23514.0,20>30,,1997.5,39.05,2036.55,1038.15,5.17,27.87,6.58,4.0,1081.77
52.55075,13.41395,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55143,13.41412,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55213,13.41425,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55289,13.41438,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55367,13.41455,Schönhauser Allee,39950.0,3878.0,43828.0,20263.0,481.0,1811.0,321.0,46.0,22922.0,20>30,,1997.5,38.78,2036.28,1013.15,4.81,27.165,6.42,4.0,1055.545
52.55386,13.41459,Schönhauser Allee,36112.0,3117.0,39229.0,17536.0,459.0,1516.0,200.0,239.0,19950.0,15>20,,1805.6,31.17,1836.77,876.8,4.59,22.74,4.0,8.0,916.13
52.55451,13.41472,Schönhauser Allee,36112.0,3117.0,39229.0,17536.0,459.0,1516.0,200.0,239.0,19950.0,15>20,,1805.6,31.17,1836.77,876.8,4.59,22.74,4.0,8.0,916.13
52.55508,13.41468,Schönhauser Allee,36112.0,3117.0,39229.0,17536.0,459.0,1516.0,200.0,239.0,19950.0,15>20,,1805.6,31.17,1836.77,876.8,4.59,22.74,4.0,8.0,916.13
52.52671,13.41532,Prenzlauer Allee,38343.0,3642.0,41985.0,19869.0,556.0,1830.0,324.0,579.0,23158.0,20>30,,1917.15,36.42,1953.5700000000002,993.45,5.56,27.45,6.48,8.0,1040.94
52.52718,13.41588,Prenzlauer Allee,38343.0,3642.0,41985.0,19869.0,556.0,1830.0,324.0,579.0,23158.0,20>30,,1917.15,36.42,1953.5700000000002,993.45,5.56,27.45,6.48,8.0,1040.94
52.52849,13.41704,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.52982,13.41833,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.5306,13.41901,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.53178,13.41983,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.53366,13.42086,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.53559,13.42215,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.53721,13.423,Prenzlauer Allee,37985.0,3455.0,41440.0,19285.0,530.0,1745.0,309.0,221.0,22090.0,20>30,,1899.25,34.55,1933.8,964.25,5.3,26.175,6.18,8.0,1009.9049999999999
52.53734,13.42313,Prenzlauer Allee,42998.0,4368.0,47366.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2149.9,43.68,2193.58,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.53843,13.42373,Prenzlauer Allee,42998.0,4368.0,47366.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2149.9,43.68,2193.58,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.53927,13.42421,Prenzlauer Allee,42998.0,4368.0,47366.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2149.9,43.68,2193.58,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.54102,13.42528,Prenzlauer Allee,42998.0,4368.0,47366.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2149.9,43.68,2193.58,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.54117,13.42532,Prenzlauer Allee,34536.0,3126.0,37662.0,17623.0,485.0,1597.0,283.0,222.0,20210.0,20>30,,1726.8,31.26,1758.06,881.15,4.85,23.955,5.66,8.0,923.615
52.54235,13.42596,Prenzlauer Allee,34536.0,3126.0,37662.0,17623.0,485.0,1597.0,283.0,222.0,20210.0,20>30,,1726.8,31.26,1758.06,881.15,4.85,23.955,5.66,8.0,923.615
52.5437,13.42687,Prenzlauer Allee,34536.0,3126.0,37662.0,17623.0,485.0,1597.0,283.0,222.0,20210.0,20>30,,1726.8,31.26,1758.06,881.15,4.85,23.955,5.66,8.0,923.615
