number;streetnumber;lat;lon;number;amount;lamp;name_lamp;picture;installed;bulb;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;height
42299-2110027-00;241;52.53024291;13.41852603;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;9,5
42299-2110028-00;13;52.5304677;13.4192138;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110029-00;240;52.53046099;13.41871015;01;1;A&G*CLASSICA*1800*NAV-T100* LUME*SKL2;A&G Classica;Ja;08.11.1995;NAV-T100*SUPER 4Y;100;110;32000;n. a.;10700;A+;10
42299-2110030-00;15;52.53065179;13.41936752;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110031-00;;52.53065269;13.41884652;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110032-00;16;52.53088532;13.41955788;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110033-00;22;52.53077593;13.41894523;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110034-00;18;52.53110864;13.41971296;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110035-00;238;52.5310412;13.41910906;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110036-00;20;52.53134859;13.41985538;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110037-00;237;52.53127517;13.41927629;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110038-00;21;52.53159161;13.4200052;01;1;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
