LS-Nr.,Hausnr.,S-Bahnring,lat,lon,number,amount,lamp,name_lamp,picture,installed,bulb,brand,name_bulb,comparison,color,watt,energy_consumption,lifespan,lumen_per_watt,lumen,energy_efficiency,switching,structural_system,height,Column 26
42616-2110010-00,90,,52.553638010888385,13.414784203016797,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110011-00,101,,52.55349540790804,13.414191473592549,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,21.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,21.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110012-00,90,,52.553449229,13.4147482564,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110013-00,102,,52.5532183632,13.4142372217,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110014-00,89,,52.5531658482,13.4146886472,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110015-00,103,,52.5530017427,13.4140774965,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110016-00,89,,52.5529245753,13.4146373863,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110017-00,104,,52.55273337872384,13.414049363139856,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110018-00,88,,52.5526676919,13.4145856707,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,22.06.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,22.06.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110019-00,105,,52.5524661167,13.4139721142,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110020-00,87,,52.5524134539,13.4145308174,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,22.06.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,22.06.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110021-00,106,,52.5521942725,13.4139215812,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110022-00,1,,52.5521947849,13.4144810854,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110023-00,107,,52.551944077304704,13.413911162169947,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110024-00,86,,52.5519326691,13.4144331709,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
