number;lat;lon;lamp;name_lamp;picture;installed;bulb;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;height
42299-2110092-00;52.53769227;13.42361322;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110093-00;52.53802331;13.42327054;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110094-00;52.53796076;13.42377057;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110095-00;52.53826108;13.42341273;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110096-00;52.53826053;13.42394403;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110097-00;52.53849256;13.42357497;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110098-00;52.53847504;13.42406218;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110099-00;52.53885697;13.42384226;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110100-00;52.53870937;13.42420247;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110101-00;52.53905693;13.42384502;SIL*458-5-025-43*NAV-TS250* MIT VG;Planflächenstrahler 458;Ja;23.12.1993;NAV-TS250;250;275;24000;112;28000;A+;16
42299-2110102-00;52.53889609;13.42438003;SIL*458-5-025-43*NAV-TS250* MIT VG;Planflächenstrahler 458;Ja;23.12.1993;NAV-TS250;250;275;24000;112;28000;A+;16
42299-2110103-00;52.53947524;13.42409732;SIL*458-5-025-43*NAV-TS250* MIT VG;Planflächenstrahler 458;Ja;23.12.1993;NAV-TS250;250;275;24000;112;28000;A+;16
42299-2110104-00;52.53936824;13.42458788;SIL*458-5-025-43*NAV-TS250* MIT VG;Planflächenstrahler 458;Ja;23.12.1993;NAV-TS250;250;275;24000;112;28000;A+;16
42299-2110105-00;52.5396655;13.4242203;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110106-00;52.53963215;13.42467651;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110107-00;52.53994754;13.4243936;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110108-00;52.53983525;13.42487201;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110109-00;52.54021892;13.42456187;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110110-00;52.54004234;13.42496698;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110111-00;52.54042431;13.42467513;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110112-00;52.54027173;13.42513061;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110113-00;52.54064252;13.42483994;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110114-00;52.54052523;13.42528539;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110115-00;52.54086452;13.42495583;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
