number;lat;lon;lamp;name_lamp;picture;installed;bulb;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;height
42299-2110116-00;52.54082713;13.42538712;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110117-00;52.54111455;13.42511782;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110118-00;52.54107754;13.42552281;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;31.12.2008;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110119-00;52.54136889;13.42525298;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110120-00;52.54133494;13.42567861;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110121-00;52.54157357;13.42539207;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110122-00;52.54158656;13.42582704;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110123-00;52.54184003;13.4255439;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110124-00;52.54185952;13.42598457;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110125-00;52.54211814;13.42570843;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110126-00;52.54211588;13.42613593;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110127-00;52.54235603;13.4258498;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110128-00;52.54237137;13.42629093;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110129-00;52.54262697;13.4260033;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110130-00;52.54264609;13.42644829;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;14.12.2010;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110131-00;52.54289395;13.42615907;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110132-00;52.54297393;13.42667895;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110133-00;52.54315127;13.4263134;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110134-00;52.54316489;13.42674933;SIE*SR100*NAV-T100/150*LU*SKL2;SITECO Mastleuchte SR 100;Ja;07.07.2005;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110135-00;52.54341838;13.42646935;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110136-00;52.543417;13.42689722;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110137-00;52.54368619;13.42663216;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110138-00;52.54365114;13.42703441;PHI*SGS453*IRIDIUM*NAV-T100/150W*SKII;Philipps Straßenleuchte SGS 453 Iridium;Ja;12.12.2007;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110139-00;52.54407204;13.4268362;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;06.04.1999;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110139-01;52.54422045;13.42691659;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110139-02;52.54433958;13.4269529;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110139-03;52.54445878;13.42702606;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110140-00;52.54398055;13.4272088;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;06.04.1999;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110140-01;52.54400318;13.42730083;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110140-02;52.54412688;13.42738502;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110140-03;52.54431355;13.42750209;PHI*SGS203T*IC-2* NAV-T50/70*SK2*;Philipps Straßenleuchte SGS 203;Ja;07.04.1999;NAV-T50*SUPER 4Y;50;58;28000;81;4200;A;3.5
42299-2110142-00;52.54446013;13.42747344;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;30.09.2011;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110143-00;52.5445667;13.42707716;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;06.04.1999;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110144-00;52.54465775;13.42764909;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110145-00;52.54472417;13.42719437;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110146-00;52.54493295;13.4277624;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110147-00;52.54499385;13.42724473;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110148-00;52.54515402;13.42783065;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110149-00;52.54518102;13.42731843;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110150-00;52.54539765;13.42791684;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110151-00;52.54541479;13.42738739;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110152-00;52.54558301;13.42797737;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;02.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;12.5
42299-2110153-00;52.54557895;13.42747877;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110154-00;52.54577101;13.42803703;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110155-00;52.5457835;13.42754417;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER® 400;Ja;02.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;12.5
42299-2110156-00;52.54602021;13.42816353;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T150* 4Y;150;168;32000;97;14500;A+;10
42299-2110157-00;52.54595825;13.42759781;SIE*SR100*NAV-T250*LU*SKL2;SITECO Mastleuchte SR 100;Ja;16.01.2014;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110158-00;52.54626577;13.4282548;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110159-00;52.5462078;13.42769618;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110160-00;52.54654331;13.42835441;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110161-00;52.54647531;13.42779447;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110162-00;52.5468061;13.42847117;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110163-00;52.54677656;13.42791103;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110164-00;52.54707789;13.42859066;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110165-00;52.54701488;13.42801683;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110166-00;52.54734944;13.42871619;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110167-00;52.54726669;13.42812625;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110168-00;52.54762811;13.42882278;A&G*CLASSICA*1800*NAV-T150* LUME*SKL2;A&G Classica;Ja;02.10.2003;NAV-T150*SUPER*4Y;150;168;32000;115;17500;A+;10
42299-2110169-00;52.5475005;13.42822101;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110170-00;52.54786624;13.42891386;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110171-00;52.54774116;13.42838207;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110172-00;52.54811891;13.42906839;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110173-00;52.54798168;13.42846207;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110174-00;52.54842551;13.42920816;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110175-00;52.54826721;13.42858608;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110176-00;52.54871241;13.42933782;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110177-00;52.54855727;13.4287285;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110178-00;52.54896565;13.42945188;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110179-00;52.54885854;13.4288635;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110180-00;52.54916706;13.42954378;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110181-00;52.54911034;13.42896925;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110182-00;52.54945928;13.42967603;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110183-00;52.54938014;13.42908965;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110184-00;52.54974741;13.42980415;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110185-00;52.54964545;13.42921008;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110186-00;52.55003558;13.42993881;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110187-00;52.54991751;13.42934153;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110188-00;52.55027027;13.4300447;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110189-00;52.5502098;13.42947658;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110190-00;52.55052811;13.43016184;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110191-00;52.55049983;13.42960796;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110192-00;52.55080214;13.43028452;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110193-00;52.55070444;13.42970655;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42299-2110195-00;52.55092262;13.42986037;SIE*SR100*NAV-T100/150W*LU*SKL2;SITECO Mastleuchte SR 100;Ja;02.10.2003;NAV-T250*SUPER 4Y;250;281;32000;130;33200;A+;10
42616-2110001-00;52.55450227;13.41439669;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110002-00;52.55444654;13.41497522;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
;;;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER 400;Ja;17.07.2006;NAV-T150;150;165;24000;100;15000;A+;
42616-2110003-00;52.55427533;13.41438305;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110004-00;52.55420655;13.41492754;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110005-00;52.55405056;13.41432148;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.04.1994;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110006-00;52.55399981;13.41486403;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;02.08.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;02.08.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
;;;SIL*455-5-015-42*NAV-T150*MVG;PLANSTRAHLER 400;Ja;17.07.2006;NAV-T150;150;165;24000;100;15000;A+;
42616-2110010-00;52.55363801;13.4147842;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110011-00;52.55349541;13.41419147;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;21.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;21.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110012-00;52.55344923;13.41474826;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110013-00;52.55321836;13.41423722;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110014-00;52.55316585;13.41468865;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110015-00;52.55300174;13.4140775;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110016-00;52.55292458;13.41463739;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110017-00;52.55273338;13.41404936;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110018-00;52.55266769;13.41458567;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;22.06.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;22.06.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110019-00;52.55246612;13.41397211;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110020-00;52.55241345;13.41453082;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;22.06.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;22.06.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110021-00;52.55219427;13.41392158;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;29.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;29.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110022-00;52.55219478;13.41448109;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110023-00;52.55194408;13.41391116;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;29.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;29.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110024-00;52.55193267;13.41443317;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
42616-2110025-00;52.55170453;13.41383344;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E250*SUPER 4Y;250;281;48000;-;31600;-;8.15
;;;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.1993;NAV-E70 4Y;70;70;28000;93;6600;-;
